Vendor,Product,Visible,Item Unit,Charge Unit,Package Name,# of Items,Purchase Price,Retail Price,Margin
Full Farm CSA,Harvester CSA Membership,Y,ea,ea,Harvester CSA Membership,1,500,500,0
Full Farm CSA,Grazer CSA Membership,Y,ea,ea,Grazer CSA Membership,1,300,300,0
Full Farm CSA,Forager CSA Membership,Y,ea,ea,Forager CSA Membership,1,200,200,0
"Creamy Cow, LLC",Creamy Cow (Raw Dairy) Add On,Y,ea,ea,Herd Share,1,50,50,0
