Vendor,Product,Visible,Item Unit,Charge Unit,Package Name,# of Items,Purchase Price,Retail Price,Margin
Deck Family Farm,Lamb Neck Slices,Y,ea,ea,1.4-1.8 lb,1,16.7,20.04,17
Deck Family Farm,Lamb Shank - Whole,Y,ea,ea,2.6 - 3 lbs,1,33.6,40.32,17
Deck Family Farm,Lamb Shoulder Roast,Y,ea,ea,2.5 - 3 lbs,1,42,50.4,17
Deck Family Farm,Landgaeger Jerky,Y,pk,pk,3 count / 3 oz,1,9.8,11.76,17
Deck Family Farm,New York Steak,Y,ea,ea,1.3 - 1.5,1,32.55,39.06,17
Deck Family Farm,Nitrite-Free Old World Hot Dogs,Y,pk,pk,14 oz / 4 count,1,12.6,15.12,17
Deck Family Farm,Peppered Knife Cut Beef Jerky,Y,pk,pk,3 oz,1,10.5,12.6,17
Deck Family Farm,Pork Bacon,Y,pk,pk,8 oz,1,10.33,12.4,17
Deck Family Farm,Bulk Raw Honey,Y,ea,ea,4 gallon,1,245,294,17
Deck Family Farm,Raw Honey,Y,ea,ea,1 qt,1,28,33.6,17
Deck Family Farm,Beef Tenderloin,Y,pk,pk,0.4 - 0.5 lbs.,1,11.9,14.28,17
Deck Family Farm,Skirt Steak,Y,pk,pk,0.8- 1.1 lbs.,1,16.94,20.33,17
Deck Family Farm,Beef Tri-Tip,Y,ea,ea,2.2 - 2.4 lbs.,1,29.82,35.78,17
Deck Family Farm,Beef Back Ribs,Y,ea,ea,3.1 - 3.6lbs.,1,33.39,40.07,17
Deck Family Farm,Beef Flank Steak,Y,ea,ea,1.7-1.77 lbs.,1,27.26,32.71,17
Deck Family Farm,Beef Flat Iron Steak,Y,ea,ea,1.2 - 1.5 lbs.,1,23.1,27.72,17
Deck Family Farm,Beef Oxtail,Y,ea,ea,1.4- 2.1  lbs.,1,16.17,19.4,17
Deck Family Farm,Pork Bones,Y,ea,ea,3-5 lbs.,1,7,8.4,17
Deck Family Farm,Chicken Feet,Y,ea,ea,2 lbs,1,11.2,13.44,17
Deck Family Farm,Pet Food Pork and Lamb Ground Organ Blend,Y,ea,ea,1 lb,1,10.15,12.18,17
Deck Family Farm,Beef Ground Organ Blend,Y,ea,ea,1 lb,1,10.15,12.18,17
Deck Family Farm,Bratwurst Sausage,Y,ea,ea,12 oz.,1,11.55,13.86,17
Deck Family Farm,Ground Lamb,Y,ea,ea,1 lb,1,11.9,14.28,17
Deck Family Farm,Top Sirloin Steak,Y,ea,ea,1.2- 1.7 Lbs,1,24.99,29.99,17
Deck Family Farm,Turkey Feet,Y,ea,ea,2 Lbs.,1,13.3,15.96,17
Deck Family Farm,Denver Spare Ribs,Y,pk,pk,2.3- 2.7 Lbs,1,22.68,27.22,17
Deck Family Farm,Baby Back Ribs,Y,pk,pk,pk 1- 1.3 Lbs,1,13.2,15.84,17
Deck Family Farm,Chicken Hearts,Y,pk,pk,1/2 lb. pk,1,4.2,5.04,17
Deck Family Farm,Chicken Gizzards,Y,pk,pk,1/2 lb pk,1,3.5,4.2,17
"Creamy Cow, LLC",Live Culture Yogurt,Y,ea,ea,8 oz,1,6,7.5,20
Spoiled Rotten Vinegar,Blackberry Vinegar,Y,ea,ea,16 fl. oz,1,12,15,20
Camas Country Mill,Emmer Farro,Y,ea,ea,5 lbs,1,15,18.75,20
Full Farm CSA,Wildcraft Hot Sauce,Y,ea,ea,ea,1,9,11.25,20
"Creamy Cow, LLC",A2/A2 Milk,Y,ea,ea,1/2 Gal.,1,15,19,21
Camas Country Mill,Purple Karma Barley Flakes,Y,ea,ea,3 lbs,1,5.52,7,21
Deck Family Farm,Fresh Pork Loukaniko Sausage,Y,pk,pk,pk,1,12.6,16,21
Grazier's Garden,Alpine Daikon Radish,Y,ea,ea,1 Lb,1,2.35,3,22
Grazier's Garden,Red Russian Kale,Y,bu,bu,bu,1,1.75,2.25,22
Red Tail Growers,Salad Chicory Mix,Y,1/2 lb,1/2 lb,1/2 lb,1,3.5,4.5,22
Red Tail Growers,Braising Chicory Mix,Y,1/2 lb,1/2 lb,1/2 lb,1,3.5,4.5,22
BNF Kombucha and Jun,Peach Rose Kombucha,Y,ea,ea,16 fl. oz,1,3.09,3.99,23
Camas Country Mill,Camas Pizza Blend,Y,ea,ea,3.5 lbs,1,3.66,4.75,23
Grazier's Garden,Scallions,Y,bu,bu,bu,1,2.5,3.25,23
Grazier's Garden,Parsley,Y,bu,bu,bu,1,2.5,3.25,23
"Creamy Cow, LLC",Sour Cream,Y,ea,ea,12 oz,1,10,13.2,24
Elegant Elephant Baking Co.,Gluten Free Dinner Rolls,Y,ea,ea,bag of 6,1,5.35,7,24
Camas Country Mill,Organic Red Floriani Corn Flour,Y,ea,ea,2 lbs,1,5.88,7.75,24
Red Tail Growers,Baby Mustard Salad Mix,Y,bag,bag,1/2 lb,1,3.5,4.66,25
Red Tail Growers,Braising Mix,Y,ea,ea,1/2 lb,1,3,4,25
Camas Country Mill,Oregon Wild Rice,Y,ea,ea,16 oz,1,13.75,18.29,25
Grazier's Garden,Spanish Onion,Y,pound,pound,pound,1,3.75,5,25
Grazier's Garden,Orange Carrots,Y,bu,bu,1 lb,1,3,4.01,25
Barrett Baking,Organic Artisan Sourdough Loaf,Y,ea,ea,ea,1,8,10.64,25
Deck Family Farm,Stewing Hen,Y,ea,ea,2 - 3.8 lbs,1,10,13.5,26
Elegant Elephant Baking Co.,Blackberry Hand Pie,Y,ea,ea,each,1,2.95,4,26
Elegant Elephant Baking Co.,Gluten Free Cheddar Rolls,Y,ea,ea,bag of 4,1,6.1,8.25,26
Elegant Elephant Baking Co.,Gluten Free Mixed Berry Pie,Y,ea,ea,"9""",1,17,23,26
Elegant Elephant Baking Co.,Gluten Free Potato Loaf with Teff,Y,ea,ea,each,1,6.25,8.5,26
Elegant Elephant Baking Co.,Gluten Free Sourdough Baguette,Y,ea,ea,each,1,5,6.75,26
Lonesome Whistle,Cayenne Kettle Corn,Y,ea,ea,0.4 lb bag,1,3.33,4.5,26
Lonesome Whistle,Einkorn Fusilli,Y,ea,ea,0.5 lb bag,1,3.33,4.5,26
Camas Country Mill,Organic 7-Grain Cereal,Y,ea,ea,4 lbs,1,6.63,9,26
Lonesome Whistle,Plain Kettle Corn,Y,ea,ea,0.4 lb bag,1,3.33,4.5,26
